CMR Processing Modes	CMR-Verarbeitungsmodi
Add your custom coded font and code page mappings to the section near the top of the file for user-defined information. Use this format:	Fügen Sie die Zuordnungen von kundenspezifischen codierten Fonts und Codepages dem Abschnitt fast am Anfang der Datei für benutzerdefinierte Informationen hinzu. Verwenden Sie das folgende Format:
AFPCodedFontName=JavaCodePage	Name_des_codierten_AFP-Fonts=Java-Codepage
Save the configuration file. You can now use your custom coded fonts with banner pages.	Speichern Sie die Konfigurationsdatei. Jetzt können Sie die kundenspezifischen codierten Fonts mit Bannerseiten benutzen.
Make sure that any coded fonts that you define in the configuration file support the Intelligent Printer Data Stream (IPDS) resolution of the printer that will print the banner page. Depending on the printer model, you can also set the resolution at the printer to AUTO. For more information, see the documentation for the printer.	Überprüfen Sie, ob alle in der Konfigurationsdatei definierten codierten Fonts die IPDS-Auflösung des Druckers unterstützen, der die Bannerseiten drucken wird. Je nach Druckermodell können Sie zudem die Auflösung am Drucker auf Automatisch setzen. Weitere Informationen enthält die Dokumentation zu dem Drucker.
Job prints on wrong printer	Job wird auf falschem Drucker gedruckt
If a job received from  or  prints on a printer other than the one you expected, you might have to change the printer properties or your configuration file so that  uses the value of the DEST parameter in the job's JCL to select the printer.	Wenn ein von  oder  empfangener Job auf einem anderen als dem erwarteten Drucker gedruckt wird, müssen Sie die Druckermerkmale oder die Konfigurationsdatei möglicherweise so ändern, dass  den Wert des Parameters DEST in der JCL (Job Control Language, Jobsteuersprache) des Jobs zur Auswahl des Druckers benutzt.
jobwrong printer	Jobfalscher Drucker
The DEST JCL parameter is often used to specify a printer on a z/OS system. When the job is downloaded, the sample receive_jcl_jobtype.cfg file maps DEST to the Destination property of the job. The job is then scheduled to a printer whose Destination property matches the job Destination property. can also use the Requested printer property to schedule jobs to a printer whose name matches the value of the Requested printer property.To use the DEST JCL parameter to assign a job to a printer, you must do either of these:	Der JCL-Parameter DEST wird oft benutzt,  um einen Drucker auf einem z/OS-System anzugeben. Beim Herunterladen des Jobs ordnet die Musterdatei receive_jcl_jobtype.cfg den Parameter DEST dem Merkmal Ziel des Jobs zu. Der Job wird dann für einen Drucker geplant,  dessen Merkmal Ziel mit dem Jobmerkmal Ziel übereinstimmt. kann zudem das Merkmal Angeforderter Drucker verwenden, um Jobs für einen Drucker zu planen, dessen Name mit dem Wert des Merkmals Angeforderter Drucker übereinstimmt.Wollen Sie den JCL-Parameter DEST verwenden, um einen Job einem Drucker zuzuordnen,  müssen Sie auf eine der folgenden Arten vorgehen:
Set the Destination property of the printer to match the value of the DEST JCL parameter.	Setzen Sie das Merkmal Ziel des Druckers so,  dass es mit dem Wert des JCL-Parameters DEST übereinstimmt.
Give the printer a name that matches the DEST value and then edit the receive_jcl_jobtype.cfg file to map the DEST parameter to the Requested printer property;	Vergeben Sie für den Drucker einen Namen, der mit dem Wert für DEST übereinstimmt. Bearbeiten Sie dann die Datei receive_jcl_jobtype.cfg so, dass der Parameter DEST dem Merkmal Angeforderter Drucker zugeordnet wird.
for example: DEFINE ${Job.RequestedPrinter} AS "${DEST}	z. B.: DEFINE ${Job.RequestedPrinter} AS "${DEST}
Tips for images	Tipps für Abbilder
To optimize the performance of your AFP color printing system, we recommend that you follow some guidelines for creating and including images in print jobs.	Zum Optimieren der Leistung des AFP-Farbdrucksystems wird empfohlen, einige Richtlinien zum Erstellen und Integrieren von Bildern in Druckjobs zu beachten.
Image tips	Tipps für Abbilder
When you want to use color images in your print jobs:	Beachten Sie Folgendes, wenn Sie Farbabbilder in Druckjobs verwenden möchten:
Get the original electronic versions of images instead of scanning existing documents.Almost unnoticeable specks of color in the background of images that have been scanned can greatly increase the size of the image. If you must scan an image, use an image editing tool to clean up the background as much as possible.	Rufen Sie die ursprünglichen elektronischen Versionen von Abbildern ab, statt vorhandene Dokumente zu scannen.Durch fast nicht wahrnehmbare Farbtröpfchen im Hintergrund von gescannten Abbildern kann die Abbildgröße erheblich zunehmen. Wenn Sie ein Abbild scannen müssen, bereinigen Sie den Hintergrund so weit wie möglich mithilfe eines Bildbearbeitungsprogramms.
Save all images in the same standard color space so you only need one input profile for all of them. Adobe RGB (1998) is the recommended color space for images that are to be printed.	Speichern Sie alle Abbilder im gleichen Standardfarbbereich, damit Sie dafür nur ein einziges Eingabeprofil benötigen. Adobe RGB (1998) ist der empfohlene Farbbereich für Abbilder, die gedruckt werden sollen.
Flatten multi-layer images (such as the ones you can create in graphics tools like Adobe Illustrator and Corel Paint Shop Pro) before including them in print jobs. Unflattened images are extremely large and more difficult to work with. Save a copy of the original image for future editing, but flatten the version that you include in your print job.	Vereinfachen Sie Abbilder aus mehreren Ebenen (wie diejenigen, die Sie in Grafikprogrammen wie Adobe Illustrator und Corel Paint Shop Pro erstellen), bevor Sie sie in Druckjobs einbeziehen. Nicht vereinfachte Abbilder sind extrem umfangreich und schwieriger zu bearbeiten. Speichern Sie eine Kopie des Originals für zukünftige Bearbeitung, doch vereinfachen Sie die Version, die Sie in den Druckjob einbeziehen.
DownloadAFP	DownloadAFP
Use this workflow for AFP data sets that are submitted through Download for z/OS or AFP Download Plus or a list of multiple print files that are submitted to a hot folder input device. This workflow sets values for job properties by using values set in each step in the workflow and by using a job properties file.	Benutzen Sie diesen Workflow für AFP-Datensätze, die über Download for z/OS oder AFP Download Plus übergeben werden, oder eine Liste mit mehreren Druckdateien, die an eine Eingabeeinheit des Typs "Ordner für Sofortdruck" übergeben werden. Dieser Workflow legt Werte für Jobmerkmale fest, indem er die in den einzelnen Schritten des Workflows festgelegten Werte und eine Jobmerkmaldatei benutzt.
DownloadAFPsuppliedworkflows	DownloadAFPbereitgestelltWorkflows
The input device specifies a control file, receive_jcl_jobtype.cfg, to change JCL parameters for a job to a job properties file in  property name=value format that is read by the first step in this workflow. The JCL parameters are sent from the z/OS host in a separate file.	Die Eingabeeinheit legt eine Steuerdatei fest, receive_jcl_jobtype.cfg, um die JCL-Parameter eines Jobs in eine Jobmerkmaldatei im Format  Merkmalname=Wert zu ändern, die vom ersten Schritt in diesem Workflow gelesen wird. Die JCL-Parameter werden vom z/OS-Host in einer separaten Datei gesendet.
messages might refer to this particular type of control file as an overrides file.	In -Nachrichten kann dieser bestimmte Typ von Steuerdatei Überschreibungsdatei genannt werden.
The EnableRepositioning and CreatePageRanges steps that this workflow contains return messages in the language in which the  base product is installed.	Die in diesem Workflow enthaltenen Schritte EnableRepositioning und CreatePageRanges geben Nachrichten in der Sprache zurück, in der das -Basisprodukt installiert wurde.
Phases and steps	Phasen und Schritte
Receive:	Empfang:
SetJobPropsFromTextFile	SetJobPropsFromTextFile
DetectInputDataStream	DetectInputDataStream
Prepare:	Vorbereitung:
UseInlineFormDefinition	UseInlineFormDefinition
Print:	Druck:
EnableRepositioning	EnableRepositioning
CreatePageRanges	CreatePageRanges
WaitForGroup	WaitForGroup
PrintJobs	PrintJobs
Complete:	Abschluss:
RetainCompletedJobs	RetainCompletedJobs
RemoveJobs	RemoveJobs
Supplied form definitions	Bereitgestellte Formdefs
provides AFP form definitions, also called FORMDEFs, that you can use. They are installed in the /usr/lpp/psf/reslib (AIX and Linux) or C:\Program Files (x86)\Ricoh\PSF\reslib (Windows) directory.	stellt AFP-Formdefinitionen – auch FORMDEFs genannt – bereit, die Sie verwenden können. Sie werden im Verzeichnis /usr/lpp/psf/reslib (AIX und Linux) oder C:\Program Files (x86)\Ricoh\PSF\reslib (Windows) installiert.
form definitionformdef	FormdefFormdef
The printer driver component, the line2afp data stream conversion component, and the file viewer component of  search that directory when they need a resource to process a job.	Die Druckertreiberkomponente, die Datenstromumwandlungskomponente line2afp und die Dateianzeigefunktion von  durchsuchen dieses Verzeichnis, wenn eine Ressource zur Verarbeitung eines Jobs erforderlich ist.
F1A10111 is the default form definition set in most of the workflows supplied with.	F1A10111 ist die Standard-Formdef, die in den meisten mit  bereitgestellten Workflows benutzt wird.
Related publications	Referenzliteratur
You can find more information about AFP color printing on the Web sites of  and the AFP Color Consortium.	Weitere Informationen zu AFP-Farbdruck finden Sie auf den Websites von  und dem AFP Color Consortium.
For more information about the AFP color management and the Color Management Object Content Architecture, see:	Weitere Informationen zum AFP-Farbmanagement und zur Color Management Object Content Architecture finden Sie in:
AFP Color Management Architecture, G550-0526	AFP Color Management Architecture, G550-0526
Color Management Object Content Architecture Reference, S550-0511	Color Management Object Content Architecture Reference, S550-0511
These AFP Architecture reference books contain information about color management resources:	Die folgenden Nachschlagewerke zur AFP-Architektur enthalten Informationen zu Farbmanagementressourcen:
Mixed Object Document Content Architecture Reference, SC31-6802	Mixed Object Document Content Architecture Reference, SC31-6802
Advanced Function Presentation: Programming Guide and Line Data Reference, S544-3884	Advanced Function Presentation: Programming Guide and Line Data Reference, S544-3884
IPDS Reference, S544-3417	IPDS Reference, S544-3417
You can download or order these publications from:	Sie können diese Veröffentlichungen herunterladen oder bestellen von:
For more information about the activities and publications of the AFP Color Consortium, see the Consortium Web site:	Weitere Informationen zu den Aktivitäten und Veröffentlichungen des AFP Color Consortium enthält die Consortium-Website:
For more information about the ICC, ICC profiles, and the PCS, see the ICC Web site: http://www.color.org	Weitere Informationen zu ICC, ICC-Profilen und PCS enthält die ICC-Website: http://www.color.org
External form definition is ignored	Externe Formdef wird ignoriert
External form definitions are ignored when the job specifies finishing options.	Externe Formdefs werden ignoriert,  wenn in dem Job Endbearbeitungsoptionen angegeben werden.
To process the job properties that specify the finishing options Punch and Staple,  creates a new external form definition. This new form definition completely replaces any other external form definition. To combine the options from the form definition with finishing options, you must either:	Zur Verarbeitung der Jobmerkmale, die die Endbearbeitungsoptionen Lochen und Heften angeben, erstellt  eine neue externe Formdef. Diese neue Formdef ersetzt alle anderen externen Formdefs. Wollen Sie die Optionen aus der Formdef mit den Endbearbeitungsoptionen kombinieren,  müssen Sie auf eine der folgenden Arten vorgehen:
Set job properties that are equivalent to the form definition options.	Legen Sie Jobmerkmale fest, die äquivalent zu den Formdef-Optionen sind.
Add finishing options to the form definition and set the Punch and Staple properties to Not Set.	Fügen Sie der Formdef Endbearbeitungsoptionen hinzu, und setzen Sie die Merkmale  Lochen und Heften auf Nicht festgelegt.
Transform	Umwandlung
Use this workflow to call a  Transform or  to convert the input files to the AFP format.	Benutzen Sie diesen Workflow, wenn Sie eine  Umwandlung oder  aufrufen wollen, um die Eingabedateien in das AFP-Format umzuwandeln.
TransformsuppliedworkflowsTransform workflowInfoPrint Transform Manager	UmwandlungbereitgestelltWorkflowsWorkflow umwandelnInfoPrint Umwandlungsmanager
is a separately orderable product. Do not use this workflow with the Advanced Transform feature; use the OutputAFP workflow. The EnableRepositioning and CreatePageRanges steps that this workflow contains return messages in the language in which the  base product is installed.	ist ein separat erhältliches Produkt. Verwenden Sie diesen Workflow nicht mit dem Advanced Transform-Feature. Verwenden Sie stattdessen den Workflow OutputAFP. Die in diesem Workflow enthaltenen Schritte EnableRepositioning und CreatePageRanges geben Nachrichten in der Sprache zurück, in der das -Basisprodukt installiert wurde.
Phases and steps	Phasen und Schritte
Receive:	Empfang:
SetJobPropsFromTextFile	SetJobPropsFromTextFile
DetectInputDataStream	DetectInputDataStream
Prepare:	Vorbereitung:
TransformJobIntoAFP	TransformJobIntoAFP
Print:	Druck:
EnableRepositioning	EnableRepositioning
CreatePageRanges	CreatePageRanges
PrintJobs	PrintJobs
Complete:	Abschluss:
RetainCompletedJobs	RetainCompletedJobs
RemoveJobs	RemoveJobs
Data Objects	Datenobjekte
Presentation data objects contain a single type of data (such as GIF, JPEG, PNG, and TIFF images) and can be used in your print jobs. These data objects can be placed directly in a page or overlay or can be defined as resources and included in pages or overlays. Using a data object as a resource is more efficient when that object appears more than once in a print job; resources are downloaded to the printer just once and referenced as needed.	Darstellungsdatenobjekte enthalten einen einzigen Datentyp (z. B. GIF-, JPEG-, PNG- und TIFF-Abbilder) und können in Druckjobs verwendet werden. Diese Datenobjekte lassen sich direkt auf einer Seite platzieren oder überlagern. Sie können aber auch als Ressourcen definiert und in Seiten oder Overlays eingeschlossen werden. Der Einsatz eines Datenobjekts als Ressource ist effizienter, wenn dieses Objekt in einem Druckjob mehrmals vorkommt; Ressourcen werden nur einmal auf den Drucker heruntergeladen und nach Bedarf angegeben.
Data objectsIn color printing	DatenobjekteBeim Farbdruck
Data objects can either be included inline with a print job or installed in a resource library by using software such as. If you install your data objects in a resource library, you can associate color conversion CMRs with them.	Datenobjekte können entweder in einen Druckjob integriert oder mithilfe von Software wie  in einer Ressourcenbibliothek installiert werden. Wenn Sie die Datenobjekte in eine Ressourcenbibliothek installieren,  können Sie die Ressourcen mit Farbumwandlungs-CMRs verknüpfen.
Color Management	Farbmanagement
Images, graphics, and photographs often appear different depending on the monitor or the printer you use. The colors printed by one printer might not match the colors printed on another printer, even if they came from the same source. If it is important that colors stay consistent from camera, scanner, or monitor to printer, you must use color management practices.	Abbilder, Grafiken und Fotos werden oft unterschiedlich wiedergegeben. Dies hängt von dem verwendeten Monitor oder Drucker ab. Möglicherweise stimmen die auf einem Drucker gedruckten Farben mit den auf einem anderen Drucker gedruckten Farben nicht überein, obwohl sie aus derselben Quelle stammen. Wenn es wichtig ist, dass Farben von Kamera, Scanner oder Monitor und Drucker annähernd gleich dargestellt werden, müssen Sie mit Farbmanagement arbeiten.
It is virtually impossible to accurately reproduce the colors that you see on your monitor on a printed page. Because printers typically have smaller color gamuts than other devices, some of the colors must always be adjusted when images are transformed for printing. With color management, you can control the adjustments so they are less noticeable than they might be if you use the default settings of your image creation software, print server, and printer.	Es ist praktisch unmöglich, die auf dem Monitor angezeigten Farben auf einer gedruckten Seite exakt zu reproduzieren. Weil Drucker normalerweise kleinere Farbskalen als andere Einheiten aufweisen, müssen einige Farben bei der Umwandlung von Abbildern zum Drucken immer angepasst werden. Mithilfe des Farbmanagements können Sie die Korrekturen so steuern, dass sie weniger auffällig sind, als wenn Sie die Standardeinstellungen Ihrer Bilderstellungssoftware sowie Ihres Druckservers und Druckers verwendeten.
Several factors play significant roles in color management, including ICC profiles, rendering intents, and paper characteristics.	Verschiedene Faktoren spielen beim Farbmanagement eine wichtige Rolle, darunter ICC-Profile, Farbwiedergabebereitschaften und Papiermerkmale.
Tone Transfer Curve CMRs	Tonübertragungskurven-CMRs
Tone transfer curve (TTC) CMRs are used to carry tone transfer curve information for an AFP print job, so you can modify the values of a particular color component and adjust the appearance of some of the colors by increasing or decreasing the amount of ink used to emphasize or reduce the effects of dot gain on the final output.	CMRs für Tonwertübertragungskurven dienen zum Übertragen von Informationen zu Übertragungskurven für einen AFP-Druckjob. Auf diese Weise können Sie die Werte einer bestimmten Farbkomponente ändern und die Darstellung einiger Farben anpassen, indem Sie die Menge der verwendeten Tinte vergrößern oder verkleinern, um die Effekte des Punktzuwachses in der endgültigen Ausgabe hervorzuheben oder zu reduzieren.
Tone transfer curvesCMRColor management resourcesTone transfer curveGeneric tone transfer curve	TonwertübertragungskurvenCMRFarbmanagementressourcenTonübertragungskurveGenerische Tonwertübertragungskurve
Like halftone CMRs, tone transfer curve CMRs are associated with print jobs specifically or generically. If they are specified generically, the print server looks in the resource library for tone transfer curve CMRs that match the printer device type and model. If the print server finds an appropriate CMR, it sends the device-specific tone transfer curve CMR to the printer with the print job. If the print server does not find an appropriate tone transfer curve CMR, it sends the generic tone transfer curve CMR to the printer.	Ähnlich wie CMRs für Grauwerte werden CMRs für Tonwertübertragungskurven den Druckjobs speziell oder generisch zugeordnet. Wenn die CMRs generisch angegeben werden, sucht der Druckserver in der Ressourcenbibliothek nach CMRs für Tonwertübertragungskurven, die mit dem Gerätetyp und -modell des Druckers übereinstimmen. Wenn der Druckserver eine geeignete CMR findet, sendet er die einheitenspezifische CMR für Tonwertübertragungskurven an den Drucker mit dem Druckjob. Findet der Druckserver keine geeignete CMR, sendet er die generische CMR für Tonwertübertragungskurven an den Drucker.
If a print job arrives at the printer requesting a generic tone transfer curve CMR, the printer compares the requested characteristics with the device-specific tone transfer curve CMRs that it has available. If there is a match, the print server or printer uses the selected device-specific tone transfer curve CMR when it processes the print job. If the printer cannot find a good match for the generic tone transfer curve CMR, it ignores the request and uses its default tone transfer curve CMR.	Wenn ein Druckjob auf dem Drucker ankommt, der eine generische CMR für Tonwertübertragungskurven anfordert, vergleicht der Drucker die angeforderten Merkmale mit den verfügbaren einheitenspezifischen CMRs für Tonwertübertragungskurven. Falls es eine Übereinstimmung gibt, verwendet der Druckserver oder Drucker die ausgewählte einheitenspezifische CMR beim Verarbeiten des Druckjobs. Findet der Druckserver keine brauchbare Übereinstimmung mit der gesuchten generischen CMR, ignoriert er die Anforderung und verwendet seine Standard-CMR für Tonwertübertragungskurven.
The Color Management Object Content Architecture (CMOCA) defines several generic tone transfer curve CMRs with different appearance values. You can use the appearance values to specify how to print your job with regard to the reported dot gain of the printer.	In der Color Management Object Content Architecture (CMOCA) werden mehrere generische CMRs für Tonwertübertragungskurven mit unterschiedlichen Darstellungswerten definiert. Sie können anhand der Darstellungswerte festlegen, wie Ihr Job im Hinblick auf den gemeldeten Punktzuwachs des Druckers gedruckt werden soll.
Generic tone transfer curves can be used to select these appearance values:	Generische Tonwertübertragungskurven können zum Auswählen der folgenden Darstellungswerte verwendet werden:
Dark	Dunkel
The output is adjusted to show a dot gain of 33% for a 50% dot.	Die Ausgabe wird so angepasst, dass für einen Punkt von 50 % ein Punktzuwachs von 33% angezeigt wird.
Accutone	Accutone
The output is adjusted to show a dot gain of 22% for a 50% dot.	Die Ausgabe wird so angepasst, dass für einen Punkt von 50 % ein Punktzuwachs von 22% angezeigt wird.
Highlight Midtone	Mittlere Töne hervorheben
The output is adjusted to show a dot gain of 14% for a 50% dot. This appearance is often used to emphasize the brightest part of an image.	Die Ausgabe wird so angepasst, dass für einen Punkt von 50 % ein Punktzuwachs von 14% angezeigt wird. Diese Darstellung wird häufig verwendet, um den hellsten Teil eines Abbilds hervorzuheben.
Standard	Standard
The output is adjusted just enough to account for the effects of dot gain, effectively counteracting the dot gain.	Die Ausgabe wird nur insoweit angepasst, dass die Effekte des Punktzuwachses gerade noch berücksichtigt und der Punktzuwachs damit effektiv neutralisiert wird.
If you use , it installs the generic tone transfer curve CMRs on your system automatically.	Wenn Sie  verwenden, werden die generischen CMRs für Tonwertübertragungskurven auf dem System automatisch installiert.
Fixing unreadable entries in the viewer	Fehlerbehebung bei nicht lesbaren Einträgen in Anzeigefunktion
unreadable viewer entriestroubleshooting	nicht lesbare Einträge in AnzeigefunktionFehlerbehebung
If you see entries such as @@--@@ instead of meaningful text for the index groups and tags in the file viewer, it is likely that the indexing in that file was created on a host system, not in.When the indexing is done on a host system, the text in the index tags is created in EBCDIC. The viewer tries to display that text as ASCII text.To fix the problem:	Wenn Sie Einträge wie beispielsweise @@--@@ statt eines aussagekräftigen Texts für die Indexgruppen und Kennzeichen in der Dateianzeigefunktion sehen, wurde das Indexieren in dieser Datei wahrscheinlich auf einem Hostsystem und nicht in  ausgeführt.Wenn das Indexieren auf einem Hostsystem ausgeführt wird,  wird der Text in den Indexkennzeichen in EBCDIC erstellt. Die Anzeigefunktion versucht, diesen Text als ASCII-Text anzuzeigen.Gehen Sie wie folgt vor, um den Fehler zu beheben:
Open the properties notebook for the job and click the AFP tab.	Öffnen Sie das Notizbuch der Merkmale für den Job, und klicken Sie auf die Registerkarte AFP.
Set the Code page global identifier to 500.	Setzen Sie das Merkmal Globale Codepage-ID auf 500.
Click OK.	Klicken Sie auf OK.
In the Jobs table on the Main page, select the job.	Wählen Sie in der Jobtabelle auf der Hauptseite den Job aus.
Click Process Again and restart the job at the ConvertLineDataJobIntoAFP or EnableRepositioning steps, whichever comes first in the workflow.	Klicken Sie auf Erneut verarbeiten, und starten Sie den Job je nach dem, welcher der Schritte in dem Workflow zuerst kommt, bei dem Schritt ConvertLineDataJobIntoAFP oder EnableRepositioning erneut.
After that step has completed processing the job, open the file viewer and select the tags; the unreadable entries should be gone.	Hat der Schritt die Verarbeitung des Jobs abgeschlossen,  öffnen Sie die Dateianzeigefunktion, und wählen Sie die Kennzeichen aus.  Die nicht lesbaren Einträge sind nicht mehr vorhanden.
Instruction Processing Mode	Anweisungsverarbeitungsmodus
CMRs with the instruction processing mode refer to processing that is done to prepare the resource for a specific printer that uses a certain paper or another device. Generally, instruction CMRs refer to output data and are similar to ICC output profiles.	CMRs im Anweisungsverarbeitungsmodus beziehen sich auf die Verarbeitung, mit der die Ressource für einen bestimmten Drucker mit einem bestimmten Papiertyp oder einer anderen Einheit vorbereitet wird. Normalerweise beziehen sich CMRs für Anweisungen auf Ausgabedaten und sie ähneln ICC-Ausgabeprofilen.
Color management resourcesInstruction processing modeInstruction processing mode, CMRProcessing modes, CMRInstruction	FarbmanagementressourcenAnweisungsverarbeitungsmodusAnweisungsverarbeitungsmodus, CMRVerarbeitungsmodi, CMRAnweisung
The instruction processing mode is used with color conversion, tone transfer curve, and halftone CMRs. In instruction processing mode, these CMRs indicate how the system must convert a resource so it prints correctly on the target printer. The manufacturer of your printer should provide ICC profiles or a variety of CMRs that you can use. Those ICC profiles and CMRs might be installed in the printer controller, included with the printer on a CD, or available for download from the manufacturer's Web site.	Der Anweisungsverarbeitungsmodus dient zur Farbkonvertierung, Tonwertübertragungskurven und CMRs für Grauwerte. Im Anweisungsverarbeitungsmodus geben diese CMRs an, wie das System eine Ressource konvertieren muss, damit sie auf dem Zieldrucker korrekt gedruckt wird. Der Druckerhersteller sollte ICC-Profile oder viele verschiedene CMRs zur Verwendung bereitstellen. Diese ICC-Profile und CMRs können in der Drucksteuerung installiert oder auf einer CD gespeichert sein, die zum Lieferumfang des Druckers gehört, oder aber auf der Website des Herstellers zum Herunterladen zur Verfügung stehen.
If you send a color AFP print job to a printer that supports AFP Color Management, color conversion and tone transfer curve CMRs in instruction processing mode can be associated with the job. When the printer processes the print job, it applies the CMRs in this order:	Wenn Sie einen AFP-Farbdruckjob an einen Drucker senden, der das AFP-Farbmanagement unterstützt, können die CMRs zur Farbkonvertierung und für Tonwertübertragungskurven im Anweisungsverarbeitungsmodus dem Job zugeordnet werden. Beim Verarbeiten des Druckjobs wendet der Drucker die CMRs in dieser Reihenfolge an:
Color conversion CMRs in audit processing mode to convert the resources into the ICC profile connection space (PCS).	CMRs zur Farbkonvertierung im Prüfverarbeitungsmodus zum Umwandeln der Ressourcen in den ICC-PCS.
Color conversion and tone transfer curve CMRs in instruction processing mode to convert the resources into the color space of the printer.	CMRs zur Farbkonvertierung und für Tonwertübertragungskurven im Anweisungsverarbeitungsmodus, um die Ressourcen in den Farbbereich des Druckers zu konvertieren
Halftone CMR in instruction processing mode to convert the job pages from their digital format into the pattern of dots that the printer can produce.	CMR für Grauwerte im Anweisungsverarbeitungsmodus, um die Jobseiten aus dem digitalen Format in das Punktmuster zu konvertieren, das der Drucker erzeugen kann
